source,price,price_per_meter,area,rooms,floor,market_type,furnished,description,date,url,title,street,neighbourhood,district,voivodeship
otodom,863730,10500,82.26,4.0,,pierwotny,1,4-pokojowe mieszkanie numer 2 na 2. piętrze w Inwestycji Jeziorowa House Dewelopera Jeziorowa House,2025-03-23,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-82m2-balkon-bezposrednio-ID4wvI1,4-pokojowe mieszkanie 82m2 + balkon Bezpośrednio,ul. Jeziorowa,Zerzeń,Wawer,mazowieckie
otodom,750000,6250,120.0,5.0,,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/dzien-otwarty-28-marca-2025-super-cena-za-120-m-ID4wwK1,Dzień otwarty 28 Marca 2025 - super cena za 120 m,ul. Gościniec 90,Śródmieście Północne,Śródmieście,mazowieckie
otodom,795000,15000,53.0,2.0,2,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/idealne-2-pokojowe-nowoczesne-52-m-z-balkonem-ID4wksr,Idealne 2-pokojowe nowoczesne 52 m² z balkonem,ul. Starowiślna,Żerań,Białołęka,mazowieckie
otodom,,,,,,,,,,https://www.otodom.pl/hpr/undefined,,,,,
otodom,,,63.36,3.0,5,pierwotny,1,3-pokojowe mieszkanie numer C76 na 5. piętrze w Inwestycji Apartamenty Oszmiańska II Dewelopera Home Invest,2025-03-23,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-63m2-2-balkony-ID4um9i,3-pokojowe mieszkanie 63m2 + 2 balkony,ul. Oszmiańska,Targówek Mieszkaniowy,Targówek,mazowieckie
otodom,579000,11468,50.49,3.0,1,pierwotny,1,3-pokojowe mieszkanie numer 17 na 1. piętrze w Inwestycji Apartamenty Przyjaciół Dewelopera Novisa Development,2025-03-23,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-50m2-loggia-bez-prowizji-ID4ulRy,3-pokojowe mieszkanie 50m2 + loggia Bez Prowizji,ul. Inna,Szamocin,Białołęka,mazowieckie
otodom,590000,15912,37.08,2.0,0,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/dwustronne-mieszkanie-w-kamienicy-ID4wwj9,Dwustronne mieszkanie w Kamienicy,ul. Groszowicka,Kamionek,Praga-Południe,mazowieckie
otodom,,,37.49,2.0,1,pierwotny,1,2-pokojowe mieszkanie numer D-A017 na 1. piętrze w budynku A w Inwestycji Warszawski Świt VI Dewelopera Home Invest,2025-03-23,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-balkon-ID4ulSt,2-pokojowe mieszkanie 37m2 + balkon,ul. Piotra Wysockiego,Bródno,Targówek,mazowieckie
otodom,2189000,14465,151.33,5.0,,pierwotny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/5-pokoi-ogrodgarazprzy-parku-15-min-od-centrum-ID4wnCN,5-pokoi ogród*garaż*przy Parku -15 min od centrum,Stare Włochy,Stare Włochy,Włochy,mazowieckie
otodom,775000,18527,41.83,2.0,,wtórny,1,,2025-03-22,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-z-ogrodkiem-osiedle-wilno-ID4wo3l,"Dwupokojowe mieszkanie z OGRÓDKIEM, Osiedle Wilno",ul. Wierna,Elsnerów,Targówek,mazowieckie
otodom,,,39.69,2.0,1,pierwotny,1,2-pokojowe mieszkanie numer F1.C.01.05 na 1. piętrze w Inwestycji XYZ Place Dewelopera Matexi Polska,2025-03-23,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-39m2-balkon-bezposrednio-ID4uonS,2-pokojowe mieszkanie 39m2 + balkon Bezpośrednio,ul. Komisji Obrony Robotników,Okęcie,Włochy,mazowieckie
otodom,1849000,21485,86.06,2.0,4,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/dwupoziomowy-apartament-bohema-pradze-polnoc-ID4w6k5,Dwupoziomowy Apartament Bohema - Pradze-Północ,ul. Szwedzka,Nowa Praga,Praga-Północ,mazowieckie
otodom,1299000,22789,57.0,3.0,1,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/kamienica-po-renowacji-balkon-dwustronne-ID4wrar,Kamienica po renowacji/balkon/dwustronne.,ul. Paryska,Saska Kępa,Praga-Południe,mazowieckie
otodom,1600000,15686,102.0,4.0,7,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/4-pokoje-2-komorki-miejsce-postojowe-wlochy-ID4wzo7,"4 Pokoje, 2 Komórki, Miejsce Postojowe, Włochy.",ul. 1 Sierpnia,Okęcie,Włochy,mazowieckie
