source;price;price_per_meter;area;rooms;floor;market_type;furnished;description;district;date;url;title
otodom;1 450 000 zł;27 831 zł/m²;52.1;2;2/4;wtórny;Tak;;ul. Aleje Ujazdowskie, Śródmieście Południowe, Śródmieście,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/1900-rok-najlepsza-lokalizacja-3-3-m-wysokosci-ID4wqSn;1900 rok / Najlepsza lokalizacja / 3,3 m wysokości
otodom;863 730 zł;10 500 zł/m²;82.26;4;;pierwotny;Tak;4-pokojowe mieszkanie numer 2 na 2. piętrze w Inwestycji Jeziorowa House Dewelopera Jeziorowa House;ul. Jeziorowa, Zerzeń, Wawer,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-82m2-balkon-bezposrednio-ID4wvI1;4-pokojowe mieszkanie 82m2 + balkon Bezpośrednio
otodom;750 000 zł;6 250 zł/m²;120;5;;wtórny;Tak;;ul. Gościniec 90, Śródmieście Północne, Śródmieście,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/dzien-otwarty-28-marca-2025-super-cena-za-120-m-ID4wwK1;Dzień otwarty 28 Marca 2025 - super cena za 120 m
otodom;795 000 zł;15 000 zł/m²;53;2;2/6;wtórny;Tak;;ul. Starowiślna, Żerań, Białołęka,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/idealne-2-pokojowe-nowoczesne-52-m-z-balkonem-ID4wksr;Idealne 2-pokojowe nowoczesne 52 m² z balkonem
otodom;;;;;;;;;;;https://www.otodom.pl/hpr/undefined;
otodom;Zapytaj o cenę;;63.36;3;5/8;pierwotny;Tak;3-pokojowe mieszkanie numer C76 na 5. piętrze w Inwestycji Apartamenty Oszmiańska II Dewelopera Home Invest;ul. Oszmiańska, Targówek Mieszkaniowy, Targówek,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-63m2-2-balkony-ID4um9i;3-pokojowe mieszkanie 63m2 + 2 balkony
otodom;579 000 zł;11 468 zł/m²;50.49;3;1/2;pierwotny;Tak;3-pokojowe mieszkanie numer 17 na 1. piętrze w Inwestycji Apartamenty Przyjaciół Dewelopera Novisa Development;ul. Inna, Szamocin, Białołęka,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-50m2-loggia-bez-prowizji-ID4ulRy;3-pokojowe mieszkanie 50m2 + loggia Bez Prowizji
otodom;590 000 zł;15 912 zł/m²;37.08;2;parter/3;wtórny;Tak;;ul. Groszowicka, Kamionek, Praga-Południe,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/dwustronne-mieszkanie-w-kamienicy-ID4wwj9;Dwustronne mieszkanie w Kamienicy
otodom;Zapytaj o cenę;;37.49;2;1/6;pierwotny;Tak;2-pokojowe mieszkanie numer D-A017 na 1. piętrze w budynku A w Inwestycji Warszawski Świt VI Dewelopera Home Invest;ul. Piotra Wysockiego, Bródno, Targówek,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-balkon-ID4ulSt;2-pokojowe mieszkanie 37m2 + balkon
otodom;2 189 000 zł;14 465 zł/m²;151.33;5;;pierwotny;Tak;;Stare Włochy, Włochy,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/5-pokoi-ogrodgarazprzy-parku-15-min-od-centrum-ID4wnCN;5-pokoi ogród*garaż*przy Parku -15 min od centrum
otodom;775 000 zł;18 527 zł/m²;41.83;2;;wtórny;Tak;;ul. Wierna, Elsnerów, Targówek,  mazowieckie;2025-03-22;https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-z-ogrodkiem-osiedle-wilno-ID4wo3l;Dwupokojowe mieszkanie z OGRÓDKIEM, Osiedle Wilno
otodom;Zapytaj o cenę;;39.69;2;1/10;pierwotny;Tak;2-pokojowe mieszkanie numer F1.C.01.05 na 1. piętrze w Inwestycji XYZ Place Dewelopera Matexi Polska;ul. Komisji Obrony Robotników, Okęcie, Włochy,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-39m2-balkon-bezposrednio-ID4uonS;2-pokojowe mieszkanie 39m2 + balkon Bezpośrednio
otodom;1 849 000 zł;21 485 zł/m²;86.06;2;4/5;wtórny;Tak;;ul. Szwedzka, Nowa Praga, Praga-Północ,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/dwupoziomowy-apartament-bohema-pradze-polnoc-ID4w6k5;Dwupoziomowy Apartament Bohema - Pradze-Północ
otodom;1 299 000 zł;22 789 zł/m²;57;3;1/2;wtórny;Tak;;ul. Paryska, Saska Kępa, Praga-Południe,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/kamienica-po-renowacji-balkon-dwustronne-ID4wrar;Kamienica po renowacji/balkon/dwustronne.
otodom;1 600 000 zł;15 686 zł/m²;102;4;7/12;wtórny;Tak;;ul. 1 Sierpnia, Okęcie, Włochy,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/4-pokoje-2-komorki-miejsce-postojowe-wlochy-ID4wzo7;4 Pokoje, 2 Komórki, Miejsce Postojowe, Włochy.
otodom;485 779 zł;13 903 zł/m²;34.94;2;;pierwotny;Tak;;Grodzisk, Białołęka,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/wykonczone-2-pok-12min-do-metra-garaz-winda-ID4wzon;⭐⭐Wykończone 2-pok 12min do Metra Garaż/WInda⭐⭐
otodom;699 000 zł;19 971 zł/m²;35;2;8/11;wtórny;Tak;;Muranów, Śródmieście,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/2-pokoje-35m2-loggia-ID4wnDv;2 pokoje, 35m2 + loggia
otodom;789 000 zł;19 725 zł/m²;40;2;5/7;wtórny;Tak;;ul. Puławska, Stary Mokotów, Mokotów,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/dwupokojowe-lux-balkon-pulawska-morskie-oko-ID4wx0k;Dwupokojowe LUX/balkon/Puławska/Morskie Oko.
